date,demand,promo,holiday,dow
2024-04-18,175.52,0,0,3
2024-04-19,194.5,0,0,4
2024-04-20,224.05,0,0,5
2024-04-21,214.21,0,0,6
2024-04-22,198.65,0,0,0
2024-04-23,203.51,0,0,1
2024-04-24,198.29,0,0,2
2024-04-25,187.64,0,0,3
2024-04-26,180.19,0,0,4
2024-04-27,215.53,0,0,5
2024-04-28,228.95,0,0,6
2024-04-29,166.28,0,0,0
2024-04-30,196.75,0,0,1
2024-05-01,232.13,1,0,2
2024-05-02,210.26,0,0,3
2024-05-03,207.05,0,0,4
2024-05-04,209.85,0,0,5
2024-05-05,238.3,0,0,6
2024-05-06,187.81,0,0,0
2024-05-07,245.55,1,0,1
2024-05-08,198.14,0,0,2
2024-05-09,201.39,0,0,3
2024-05-10,182.39,0,0,4
2024-05-11,220.22,0,0,5
2024-05-12,266.34,1,0,6
2024-05-13,188.88,0,0,0
2024-05-14,206.25,0,0,1
2024-05-15,232.32,1,0,2
2024-05-16,192.17,0,0,3
2024-05-17,176.3,0,0,4
2024-05-18,219.82,0,0,5
2024-05-19,221.31,0,0,6
2024-05-20,191.65,0,0,0
2024-05-21,176.61,0,0,1
2024-05-22,192.05,0,0,2
2024-05-23,185.71,0,0,3
2024-05-24,166.0,0,0,4
2024-05-25,237.02,0,0,5
2024-05-26,205.84,0,0,6
2024-05-27,197.45,0,0,0
2024-05-28,197.23,0,0,1
2024-05-29,190.12,0,0,2
2024-05-30,192.94,0,0,3
2024-05-31,194.18,0,0,4
2024-06-01,197.07,0,0,5
2024-06-02,227.51,0,0,6
2024-06-03,186.85,0,0,0
2024-06-04,181.69,0,0,1
2024-06-05,176.24,0,0,2
2024-06-06,177.96,0,0,3
2024-06-07,201.33,0,0,4
2024-06-08,226.92,0,0,5
2024-06-09,218.02,0,0,6
2024-06-10,168.86,0,0,0
2024-06-11,219.59,1,0,1
2024-06-12,193.52,0,0,2
2024-06-13,164.78,0,0,3
2024-06-14,187.9,0,0,4
2024-06-15,203.75,0,0,5
2024-06-16,210.06,0,0,6
2024-06-17,176.97,0,0,0
2024-06-18,197.38,0,0,1
2024-06-19,212.68,0,0,2
2024-06-20,183.87,0,0,3
2024-06-21,184.64,0,0,4
2024-06-22,245.69,1,0,5
2024-06-23,186.9,0,0,6
2024-06-24,169.66,0,0,0
2024-06-25,191.37,0,0,1
2024-06-26,171.0,0,0,2
2024-06-27,166.96,0,0,3
2024-06-28,193.56,0,0,4
2024-06-29,213.98,0,0,5
2024-06-30,213.1,0,0,6
2024-07-01,169.66,0,0,0
2024-07-02,166.61,0,0,1
2024-07-03,188.27,0,0,2
2024-07-04,180.29,0,0,3
2024-07-05,158.19,0,0,4
2024-07-06,187.93,0,0,5
2024-07-07,182.3,0,0,6
2024-07-08,234.74,1,0,0
2024-07-09,191.25,0,0,1
2024-07-10,164.76,0,0,2
2024-07-11,210.51,1,0,3
2024-07-12,173.19,0,0,4
2024-07-13,211.83,0,0,5
2024-07-14,206.42,0,0,6
2024-07-15,180.3,0,0,0
2024-07-16,164.02,0,0,1
2024-07-17,167.13,0,0,2
2024-07-18,179.6,0,0,3
2024-07-19,223.24,1,0,4
2024-07-20,256.93,1,0,5
2024-07-21,191.49,0,0,6
2024-07-22,169.87,0,0,0
2024-07-23,186.19,0,0,1
2024-07-24,168.06,0,0,2
2024-07-25,171.09,0,0,3
2024-07-26,179.56,0,0,4
2024-07-27,212.23,1,0,5
2024-07-28,240.73,1,0,6
2024-07-29,169.86,0,0,0
2024-07-30,176.58,0,0,1
2024-07-31,169.03,0,0,2
2024-08-01,166.72,0,0,3
2024-08-02,176.74,0,0,4
2024-08-03,192.05,0,0,5
2024-08-04,199.9,0,0,6
2024-08-05,164.65,0,0,0
2024-08-06,162.99,0,0,1
2024-08-07,228.67,1,0,2
2024-08-08,153.84,0,0,3
2024-08-09,175.99,0,0,4
2024-08-10,196.39,0,0,5
2024-08-11,180.6,0,0,6
2024-08-12,223.48,1,0,0
2024-08-13,179.28,0,0,1
2024-08-14,157.33,0,0,2
2024-08-15,150.95,0,0,3
2024-08-16,194.73,1,0,4
2024-08-17,183.82,0,0,5
2024-08-18,181.97,0,0,6
2024-08-19,160.63,0,0,0
2024-08-20,165.35,0,0,1
2024-08-21,158.06,0,0,2
2024-08-22,166.81,0,0,3
2024-08-23,178.72,0,0,4
2024-08-24,202.56,0,0,5
2024-08-25,195.47,0,0,6
2024-08-26,154.67,0,0,0
2024-08-27,156.56,0,0,1
2024-08-28,155.64,0,0,2
2024-08-29,200.64,1,0,3
2024-08-30,209.93,1,0,4
2024-08-31,182.04,0,0,5
2024-09-01,183.26,0,0,6
2024-09-02,147.09,0,0,0
2024-09-03,170.15,0,0,1
2024-09-04,155.55,0,0,2
2024-09-05,163.66,0,0,3
2024-09-06,155.56,0,0,4
2024-09-07,190.26,0,0,5
2024-09-08,188.04,0,0,6
2024-09-09,148.47,0,0,0
2024-09-10,157.96,0,0,1
2024-09-11,208.54,1,0,2
2024-09-12,160.48,0,0,3
2024-09-13,153.08,0,0,4
2024-09-14,192.02,0,0,5
2024-09-15,189.88,0,0,6
2024-09-16,149.83,0,0,0
2024-09-17,155.61,0,0,1
2024-09-18,150.1,0,0,2
2024-09-19,161.13,0,0,3
2024-09-20,170.83,0,0,4
2024-09-21,177.38,0,0,5
2024-09-22,191.22,0,0,6
2024-09-23,162.23,0,0,0
2024-09-24,148.46,0,0,1
2024-09-25,162.67,0,0,2
2024-09-26,163.72,0,0,3
2024-09-27,156.53,0,0,4
2024-09-28,170.71,0,0,5
2024-09-29,184.98,0,0,6
2024-09-30,160.37,0,0,0
2024-10-01,181.35,0,0,1
2024-10-02,167.88,0,0,2
2024-10-03,160.75,0,0,3
2024-10-04,174.49,0,0,4
2024-10-05,190.72,0,0,5
2024-10-06,195.44,0,0,6
2024-10-07,164.58,0,0,0
2024-10-08,154.26,0,0,1
2024-10-09,166.47,0,0,2
2024-10-10,216.58,1,0,3
2024-10-11,151.68,0,0,4
2024-10-12,200.75,0,0,5
2024-10-13,166.28,0,0,6
2024-10-14,160.18,0,0,0
2024-10-15,172.3,0,0,1
2024-10-16,160.38,0,0,2
2024-10-17,154.66,0,0,3
2024-10-18,212.51,1,0,4
2024-10-19,227.58,1,0,5
2024-10-20,176.11,0,0,6
2024-10-21,160.69,0,0,0
2024-10-22,170.57,0,0,1
2024-10-23,170.15,0,0,2
2024-10-24,167.14,0,0,3
2024-10-25,170.38,0,0,4
2024-10-26,173.36,0,0,5
2024-10-27,194.98,0,0,6
2024-10-28,165.63,0,0,0
2024-10-29,172.06,0,0,1
2024-10-30,158.74,0,0,2
2024-10-31,150.95,0,0,3
2024-11-01,155.63,0,0,4
2024-11-02,187.1,0,0,5
2024-11-03,188.6,0,0,6
2024-11-04,174.41,0,0,0
2024-11-05,172.12,0,0,1
2024-11-06,170.82,0,0,2
2024-11-07,154.3,0,0,3
2024-11-08,213.27,1,0,4
2024-11-09,202.76,0,0,5
2024-11-10,194.71,0,0,6
2024-11-11,226.17,0,1,0
2024-11-12,161.71,0,0,1
2024-11-13,170.29,0,0,2
2024-11-14,216.08,1,0,3
2024-11-15,161.31,0,0,4
2024-11-16,201.38,0,0,5
2024-11-17,195.57,0,0,6
2024-11-18,169.01,0,0,0
2024-11-19,166.04,0,0,1
2024-11-20,166.64,0,0,2
2024-11-21,183.83,0,0,3
2024-11-22,165.86,0,0,4
2024-11-23,236.63,1,0,5
2024-11-24,178.4,0,0,6
2024-11-25,182.53,0,0,0
2024-11-26,190.68,0,0,1
2024-11-27,190.32,0,0,2
2024-11-28,159.41,0,0,3
2024-11-29,174.51,0,0,4
2024-11-30,211.87,0,0,5
2024-12-01,213.24,0,0,6
2024-12-02,192.02,0,0,0
2024-12-03,188.55,0,0,1
2024-12-04,166.91,0,0,2
2024-12-05,169.9,0,0,3
2024-12-06,182.1,0,0,4
2024-12-07,198.1,0,0,5
2024-12-08,200.71,0,0,6
2024-12-09,187.2,0,0,0
2024-12-10,180.03,0,0,1
2024-12-11,181.27,0,0,2
2024-12-12,239.36,1,0,3
2024-12-13,191.4,0,0,4
2024-12-14,206.02,0,0,5
2024-12-15,193.15,0,0,6
2024-12-16,187.53,0,0,0
2024-12-17,175.89,0,0,1
2024-12-18,194.24,0,0,2
2024-12-19,165.14,0,0,3
2024-12-20,182.37,0,0,4
2024-12-21,218.4,0,0,5
2024-12-22,208.58,0,0,6
2024-12-23,169.24,0,0,0
2024-12-24,173.47,0,0,1
2024-12-25,244.02,0,1,2
2024-12-26,188.17,0,0,3
2024-12-27,201.13,0,0,4
2024-12-28,210.88,0,0,5
2024-12-29,222.86,0,0,6
2024-12-30,244.1,1,0,0
2024-12-31,236.03,1,0,1
2025-01-01,244.8,0,1,2
2025-01-02,229.23,1,0,3
2025-01-03,175.65,0,0,4
2025-01-04,196.89,0,0,5
2025-01-05,215.63,0,0,6
2025-01-06,188.8,0,0,0
2025-01-07,177.31,0,0,1
2025-01-08,199.85,0,0,2
2025-01-09,185.1,0,0,3
2025-01-10,202.63,0,0,4
2025-01-11,199.05,0,0,5
2025-01-12,208.58,0,0,6
2025-01-13,183.6,0,0,0
2025-01-14,197.23,0,0,1
2025-01-15,191.13,0,0,2
2025-01-16,192.87,0,0,3
2025-01-17,205.75,0,0,4
2025-01-18,215.85,0,0,5
2025-01-19,206.74,0,0,6
2025-01-20,198.42,0,0,0
2025-01-21,188.85,0,0,1
2025-01-22,192.75,0,0,2
2025-01-23,186.21,0,0,3
2025-01-24,192.94,0,0,4
2025-01-25,242.82,0,0,5
2025-01-26,232.37,0,0,6
2025-01-27,225.49,1,0,0
2025-01-28,206.88,0,0,1
2025-01-29,188.51,0,0,2
2025-01-30,197.89,0,0,3
2025-01-31,197.74,0,0,4
2025-02-01,221.84,0,0,5
2025-02-02,218.29,0,0,6
2025-02-03,215.58,0,0,0
2025-02-04,191.14,0,0,1
2025-02-05,185.75,0,0,2
2025-02-06,194.78,0,0,3
2025-02-07,193.01,0,0,4
2025-02-08,224.68,0,0,5
2025-02-09,238.67,0,0,6
2025-02-10,187.14,0,0,0
2025-02-11,192.51,0,0,1
2025-02-12,214.86,0,0,2
2025-02-13,225.16,0,0,3
2025-02-14,205.14,0,0,4
2025-02-15,216.42,0,0,5
2025-02-16,236.86,0,0,6
2025-02-17,193.4,0,0,0
2025-02-18,234.33,0,0,1
2025-02-19,196.48,0,0,2
2025-02-20,215.67,0,0,3
2025-02-21,202.14,0,0,4
2025-02-22,222.03,0,0,5
2025-02-23,241.35,0,0,6
2025-02-24,203.91,0,0,0
2025-02-25,211.97,0,0,1
2025-02-26,198.37,0,0,2
2025-02-27,206.18,0,0,3
2025-02-28,208.86,0,0,4
2025-03-01,206.51,0,0,5
2025-03-02,242.27,0,0,6
2025-03-03,195.35,0,0,0
2025-03-04,205.03,0,0,1
2025-03-05,206.18,0,0,2
2025-03-06,217.01,0,0,3
2025-03-07,208.19,0,0,4
2025-03-08,222.89,0,0,5
2025-03-09,267.63,1,0,6
2025-03-10,219.72,0,0,0
2025-03-11,205.59,0,0,1
2025-03-12,218.71,0,0,2
2025-03-13,259.87,1,0,3
2025-03-14,247.11,1,0,4
2025-03-15,216.91,0,0,5
2025-03-16,247.01,0,0,6
2025-03-17,213.44,0,0,0
2025-03-18,201.28,0,0,1
2025-03-19,208.08,0,0,2
2025-03-20,230.24,0,0,3
2025-03-21,208.65,0,0,4
2025-03-22,231.62,0,0,5
2025-03-23,239.05,0,0,6
2025-03-24,214.55,0,0,0
2025-03-25,194.11,0,0,1
2025-03-26,212.59,0,0,2
2025-03-27,223.46,0,0,3
2025-03-28,192.24,0,0,4
2025-03-29,247.05,0,0,5
2025-03-30,238.57,0,0,6
2025-03-31,225.54,0,0,0
2025-04-01,209.56,0,0,1
2025-04-02,211.93,0,0,2
2025-04-03,198.48,0,0,3
2025-04-04,206.83,0,0,4
2025-04-05,233.14,0,0,5
2025-04-06,287.61,1,0,6
2025-04-07,208.67,0,0,0
2025-04-08,214.12,0,0,1
2025-04-09,215.63,0,0,2
2025-04-10,218.37,0,0,3
2025-04-11,212.35,0,0,4
2025-04-12,215.26,0,0,5
2025-04-13,234.73,0,0,6
2025-04-14,200.13,0,0,0
2025-04-15,267.35,1,0,1
2025-04-16,216.95,0,0,2
2025-04-17,215.4,0,0,3
2025-04-18,223.11,0,0,4
2025-04-19,244.65,0,0,5
2025-04-20,274.44,1,0,6
2025-04-21,214.08,0,0,0
2025-04-22,207.74,0,0,1
2025-04-23,204.65,0,0,2
2025-04-24,212.73,0,0,3
2025-04-25,208.62,0,0,4
2025-04-26,244.27,0,0,5
2025-04-27,225.71,0,0,6
2025-04-28,216.39,0,0,0
2025-04-29,203.36,0,0,1
2025-04-30,204.24,0,0,2
2025-05-01,205.36,0,0,3
2025-05-02,208.59,0,0,4
2025-05-03,220.24,0,0,5
2025-05-04,225.38,0,0,6
2025-05-05,254.53,1,0,0
2025-05-06,208.89,0,0,1
2025-05-07,214.3,0,0,2
2025-05-08,203.39,0,0,3
2025-05-09,208.84,0,0,4
2025-05-10,238.05,0,0,5
2025-05-11,237.35,0,0,6
2025-05-12,240.06,1,0,0
2025-05-13,206.91,0,0,1
2025-05-14,218.52,0,0,2
2025-05-15,222.75,0,0,3
2025-05-16,212.0,0,0,4
2025-05-17,226.39,0,0,5
2025-05-18,242.66,0,0,6
2025-05-19,223.72,0,0,0
2025-05-20,206.42,0,0,1
2025-05-21,205.0,0,0,2
2025-05-22,189.44,0,0,3
2025-05-23,211.52,0,0,4
2025-05-24,221.88,0,0,5
2025-05-25,217.3,0,0,6
2025-05-26,200.88,0,0,0
2025-05-27,184.8,0,0,1
2025-05-28,199.73,0,0,2
2025-05-29,194.03,0,0,3
2025-05-30,209.08,0,0,4
2025-05-31,269.13,1,0,5
2025-06-01,220.64,0,0,6
2025-06-02,209.31,0,0,0
2025-06-03,198.22,0,0,1
2025-06-04,200.57,0,0,2
2025-06-05,204.02,0,0,3
2025-06-06,202.94,0,0,4
2025-06-07,214.3,0,0,5
2025-06-08,230.83,0,0,6
2025-06-09,200.85,0,0,0
2025-06-10,211.87,0,0,1
2025-06-11,196.61,0,0,2
2025-06-12,200.36,0,0,3
2025-06-13,200.19,0,0,4
2025-06-14,216.61,0,0,5
2025-06-15,226.49,0,0,6
2025-06-16,235.7,1,0,0
2025-06-17,203.2,0,0,1
2025-06-18,196.55,0,0,2
2025-06-19,192.92,0,0,3
2025-06-20,188.66,0,0,4
2025-06-21,219.9,0,0,5
2025-06-22,212.79,0,0,6
2025-06-23,194.22,0,0,0
2025-06-24,182.43,0,0,1
2025-06-25,209.34,0,0,2
2025-06-26,184.75,0,0,3
2025-06-27,202.01,0,0,4
2025-06-28,255.21,1,0,5
2025-06-29,208.56,0,0,6
2025-06-30,193.2,0,0,0
2025-07-01,200.79,0,0,1
2025-07-02,174.24,0,0,2
2025-07-03,185.51,0,0,3
2025-07-04,201.81,0,0,4
2025-07-05,212.82,0,0,5
2025-07-06,215.08,0,0,6
2025-07-07,180.41,0,0,0
2025-07-08,199.09,0,0,1
2025-07-09,181.37,0,0,2
2025-07-10,198.91,0,0,3
2025-07-11,203.97,0,0,4
2025-07-12,211.34,0,0,5
2025-07-13,214.56,0,0,6
2025-07-14,190.18,0,0,0
2025-07-15,170.52,0,0,1
2025-07-16,224.22,1,0,2
2025-07-17,187.52,0,0,3
2025-07-18,185.31,0,0,4
2025-07-19,212.34,0,0,5
2025-07-20,199.15,0,0,6
2025-07-21,170.95,0,0,0
2025-07-22,181.61,0,0,1
2025-07-23,175.3,0,0,2
2025-07-24,193.72,0,0,3
2025-07-25,175.16,0,0,4
2025-07-26,204.92,0,0,5
2025-07-27,202.82,0,0,6
2025-07-28,174.62,0,0,0
2025-07-29,182.63,0,0,1
2025-07-30,174.69,0,0,2
2025-07-31,197.06,0,0,3
2025-08-01,181.0,0,0,4
2025-08-02,201.11,0,0,5
2025-08-03,180.9,0,0,6
2025-08-04,170.85,0,0,0
2025-08-05,235.8,1,0,1
2025-08-06,174.15,0,0,2
2025-08-07,173.66,0,0,3
2025-08-08,173.87,0,0,4
2025-08-09,187.19,0,0,5
2025-08-10,196.81,0,0,6
2025-08-11,164.99,0,0,0
2025-08-12,167.89,0,0,1
2025-08-13,186.15,0,0,2
2025-08-14,178.96,0,0,3
2025-08-15,160.92,0,0,4
2025-08-16,200.04,0,0,5
2025-08-17,183.55,0,0,6
2025-08-18,180.12,0,0,0
2025-08-19,179.14,0,0,1
2025-08-20,183.79,0,0,2
2025-08-21,171.07,0,0,3
2025-08-22,164.26,0,0,4
2025-08-23,196.53,0,0,5
2025-08-24,198.83,0,0,6
2025-08-25,220.46,1,0,0
2025-08-26,162.05,0,0,1
2025-08-27,172.93,0,0,2
2025-08-28,175.65,0,0,3
2025-08-29,182.42,0,0,4
2025-08-30,189.12,0,0,5
2025-08-31,205.81,0,0,6
2025-09-01,167.08,0,0,0
2025-09-02,166.13,0,0,1
2025-09-03,155.75,0,0,2
2025-09-04,175.39,0,0,3
2025-09-05,217.2,1,0,4
2025-09-06,199.95,0,0,5
2025-09-07,245.42,1,0,6
2025-09-08,172.85,0,0,0
2025-09-09,174.86,0,0,1
2025-09-10,158.17,0,0,2
2025-09-11,193.45,0,0,3
2025-09-12,170.94,0,0,4
2025-09-13,197.73,0,0,5
2025-09-14,200.71,0,0,6
2025-09-15,177.18,0,0,0
2025-09-16,154.43,0,0,1
2025-09-17,160.61,0,0,2
2025-09-18,171.76,0,0,3
2025-09-19,177.75,0,0,4
2025-09-20,201.71,0,0,5
2025-09-21,199.25,0,0,6
2025-09-22,170.08,0,0,0
2025-09-23,211.11,1,0,1
2025-09-24,183.71,0,0,2
2025-09-25,164.9,0,0,3
2025-09-26,181.35,0,0,4
2025-09-27,187.68,0,0,5
2025-09-28,197.21,0,0,6
2025-09-29,180.23,0,0,0
2025-09-30,184.86,0,0,1
2025-10-01,173.88,0,0,2
2025-10-02,186.21,0,0,3
2025-10-03,167.03,0,0,4
2025-10-04,198.27,0,0,5
2025-10-05,207.33,0,0,6
2025-10-06,162.12,0,0,0
2025-10-07,170.07,0,0,1
2025-10-08,183.0,0,0,2
2025-10-09,153.77,0,0,3
2025-10-10,168.69,0,0,4
2025-10-11,210.06,0,0,5
2025-10-12,206.2,0,0,6
2025-10-13,178.13,0,0,0
2025-10-14,172.58,0,0,1
2025-10-15,163.94,0,0,2
2025-10-16,158.95,0,0,3
2025-10-17,168.49,0,0,4
2025-10-18,203.76,0,0,5
2025-10-19,172.22,0,0,6
2025-10-20,211.74,1,0,0
2025-10-21,187.54,0,0,1
2025-10-22,171.71,0,0,2
2025-10-23,175.97,0,0,3
2025-10-24,228.0,1,0,4
2025-10-25,217.25,0,0,5
2025-10-26,216.15,0,0,6
2025-10-27,192.38,0,0,0
2025-10-28,168.54,0,0,1
2025-10-29,174.89,0,0,2
2025-10-30,168.33,0,0,3
2025-10-31,206.55,0,0,4
2025-11-01,212.0,0,0,5
2025-11-02,204.32,0,0,6
2025-11-03,181.18,0,0,0
2025-11-04,175.61,0,0,1
2025-11-05,171.94,0,0,2
2025-11-06,179.86,0,0,3
2025-11-07,187.46,0,0,4
2025-11-08,181.52,0,0,5
2025-11-09,204.19,0,0,6
2025-11-10,190.64,0,0,0
2025-11-11,297.57,1,1,1
2025-11-12,201.74,0,0,2
2025-11-13,179.79,0,0,3
2025-11-14,167.55,0,0,4
2025-11-15,203.04,0,0,5
2025-11-16,202.72,0,0,6
2025-11-17,168.96,0,0,0
2025-11-18,165.75,0,0,1
2025-11-19,178.53,0,0,2
2025-11-20,177.99,0,0,3
2025-11-21,173.71,0,0,4
2025-11-22,207.87,0,0,5
2025-11-23,199.41,0,0,6
2025-11-24,165.96,0,0,0
2025-11-25,231.39,1,0,1
2025-11-26,173.99,0,0,2
2025-11-27,191.19,0,0,3
2025-11-28,180.1,0,0,4
2025-11-29,201.91,0,0,5
2025-11-30,222.19,0,0,6
2025-12-01,185.2,0,0,0
2025-12-02,198.03,0,0,1
2025-12-03,220.51,1,0,2
2025-12-04,179.68,0,0,3
2025-12-05,221.3,1,0,4
2025-12-06,210.45,0,0,5
2025-12-07,219.89,0,0,6
2025-12-08,207.43,0,0,0
2025-12-09,185.87,0,0,1
2025-12-10,180.18,0,0,2
2025-12-11,183.3,0,0,3
2025-12-12,206.57,0,0,4
2025-12-13,208.91,0,0,5
2025-12-14,260.76,1,0,6
2025-12-15,172.56,0,0,0
2025-12-16,186.23,0,0,1
2025-12-17,191.11,0,0,2
2025-12-18,227.82,1,0,3
2025-12-19,183.28,0,0,4
2025-12-20,217.14,0,0,5
2025-12-21,272.86,1,0,6
2025-12-22,192.5,0,0,0
2025-12-23,197.37,0,0,1
2025-12-24,238.97,1,0,2
2025-12-25,257.14,0,1,3
2025-12-26,180.71,0,0,4
2025-12-27,226.03,0,0,5
2025-12-28,218.41,0,0,6
2025-12-29,201.37,0,0,0
2025-12-30,209.61,0,0,1
2025-12-31,200.85,0,0,2
2026-01-01,260.67,0,1,3
2026-01-02,194.99,0,0,4
2026-01-03,223.32,0,0,5
2026-01-04,218.41,0,0,6
2026-01-05,193.93,0,0,0
2026-01-06,203.88,0,0,1
2026-01-07,195.98,0,0,2
2026-01-08,199.42,0,0,3
2026-01-09,180.08,0,0,4
2026-01-10,231.26,0,0,5
2026-01-11,222.42,0,0,6
2026-01-12,220.21,0,0,0
2026-01-13,186.71,0,0,1
2026-01-14,211.94,0,0,2
2026-01-15,198.62,0,0,3
2026-01-16,221.69,0,0,4
2026-01-17,212.25,0,0,5
2026-01-18,233.56,0,0,6
2026-01-19,190.27,0,0,0
2026-01-20,198.48,0,0,1
2026-01-21,210.72,0,0,2
2026-01-22,223.02,0,0,3
2026-01-23,205.58,0,0,4
2026-01-24,242.43,0,0,5
2026-01-25,227.13,0,0,6
2026-01-26,198.56,0,0,0
2026-01-27,214.64,0,0,1
2026-01-28,225.5,0,0,2
2026-01-29,208.61,0,0,3
2026-01-30,237.06,1,0,4
2026-01-31,217.62,0,0,5
2026-02-01,234.85,0,0,6
2026-02-02,218.49,0,0,0
2026-02-03,202.07,0,0,1
2026-02-04,211.64,0,0,2
2026-02-05,224.39,0,0,3
2026-02-06,235.02,0,0,4
2026-02-07,228.54,0,0,5
2026-02-08,248.0,0,0,6
2026-02-09,207.91,0,0,0
2026-02-10,212.02,0,0,1
2026-02-11,212.94,0,0,2
2026-02-12,205.04,0,0,3
2026-02-13,226.25,0,0,4
2026-02-14,238.35,0,0,5
2026-02-15,247.99,0,0,6
2026-02-16,206.59,0,0,0
2026-02-17,217.15,0,0,1
2026-02-18,232.82,0,0,2
2026-02-19,232.26,0,0,3
2026-02-20,213.07,0,0,4
2026-02-21,241.99,0,0,5
2026-02-22,248.98,0,0,6
2026-02-23,219.79,0,0,0
2026-02-24,226.87,0,0,1
2026-02-25,230.35,0,0,2
2026-02-26,216.83,0,0,3
2026-02-27,215.4,0,0,4
2026-02-28,237.97,0,0,5
2026-03-01,229.08,0,0,6
2026-03-02,208.53,0,0,0
2026-03-03,204.11,0,0,1
2026-03-04,222.06,0,0,2
2026-03-05,277.44,1,0,3
2026-03-06,264.61,1,0,4
2026-03-07,247.6,0,0,5
2026-03-08,223.42,0,0,6
2026-03-09,219.33,0,0,0
2026-03-10,247.63,0,0,1
2026-03-11,273.64,1,0,2
2026-03-12,215.72,0,0,3
2026-03-13,223.18,0,0,4
2026-03-14,236.32,0,0,5
2026-03-15,240.53,0,0,6
2026-03-16,210.5,0,0,0
2026-03-17,220.17,0,0,1
2026-03-18,205.16,0,0,2
2026-03-19,215.57,0,0,3
2026-03-20,226.03,0,0,4
2026-03-21,238.83,0,0,5
2026-03-22,254.9,0,0,6
2026-03-23,239.47,0,0,0
2026-03-24,242.56,0,0,1
2026-03-25,221.15,0,0,2
2026-03-26,216.66,0,0,3
2026-03-27,226.45,0,0,4
2026-03-28,261.13,0,0,5
2026-03-29,284.17,1,0,6
2026-03-30,214.21,0,0,0
2026-03-31,219.68,0,0,1
